proveedor,codigo_interno,cod,nombre,monto,url,method
CAS,101,1,h1,.monto,https://castienda.com.ar/producto/cemento-fuerte-x-25-kg-holcim-copia/,static
CAS,100,2,h1,.monto,https://castienda.com.ar/producto/maestro-cemento-de-albanileria-x-25-kg-holcim-copia/,static
CAS,100,2,h1,.monto,https://castienda.com.ar/producto/cal-hidratada-holcim-x-25-kg/,static
CAS,102,3,h1,.monto,https://castienda.com.ar/producto/bolson-de-arena-comun-de-110-tn-aprox/,static
CAS,102,3,h1,.monto,https://castienda.com.ar/producto/bolson-de-arena-gruesa-especial-de-110-tn-aprox/,static
CAS,102,4,h1,.monto,https://castienda.com.ar/producto/bolson-piedra-binder-6-12-x-110-tn-aprox/,static
CAS,102,4,h1,.monto,https://castienda.com.ar/producto/bolson-piedra-granitica-x-700-kg-aprox/,static
CAS,100,5,h1,.monto,https://castienda.com.ar/producto/tector-morteros-revoque-monocapa-3-en-1-x-25-kg-holcim/,static
CAS,100,5,h1,.monto,https://castienda.com.ar/producto/revoque-fino-a-la-cal-exterior-x-25-kg-holcim/,static
CAS,118,6,h1,.monto,https://castienda.com.ar/producto/revoque-fino-a-la-cal-interior-x-25-kg-holcim/,static
CAS,118,6,h1,.monto,https://castienda.com.ar/producto/ladrillo-portante-12-x-19-x-33/,static
CAS,108,7,h1,.monto,https://castienda.com.ar/producto/ladrillo-portante-18-x-19-x-33/,static
CAS,108,7,h1,.monto,https://castienda.com.ar/producto/ladrillo-tabique-8-x-18-x-33/,static
CAS,108,8,h1,.monto,https://castienda.com.ar/producto/ladrillo-tabique-12-x-18-x-33/,static
CAS,108,8,h1,.monto,https://castienda.com.ar/producto/ladrillo-tabique-18-x-18-x-33/,static
CAS,108,9,h1,.monto,https://castienda.com.ar/producto/ladrillo-portante-12-x-19-x-33-palmar/,static
CAS,108,9,h1,.monto,https://castienda.com.ar/producto/ladrillo-dm20-doble-muro-20-x-18-x-33-ceramica-rosario/,static
CAS,108,10,h1,.monto,https://castienda.com.ar/producto/ladrillo-techo-11-x-25-x-38-palmar/,static
CAS,108,10,h1,.monto,https://castienda.com.ar/producto/ladrillo-telgopor-100-x-38-x-12/,static
CAS,112,11,h1,.monto,https://castienda.com.ar/producto/ladrillo-comun-22-x-11-x-45/,static
CAS,112,11,h1,.monto,https://castienda.com.ar/producto/tector-aditivo-hidrofugo-1230-x-20-lts-holcim/,static
CAS,111,12,h1,.monto,https://castienda.com.ar/producto/sika-1-bidon-x-10-lts/,static
CAS,111,12,h1,.monto,https://castienda.com.ar/producto/sika-3-sin-cloruro-bidon-2/,static
CAS,114,13,h1,.monto,https://castienda.com.ar/producto/zocalo-de-eps-extra-line-blanco-mate-atrim/,static
CAS,114,13,h1,.monto,https://castienda.com.ar/producto/zocalo-de-eps-line-blanco-mate-atrim/,static
CAS,120,14,h1,.monto,https://castienda.com.ar/producto/zocalo-de-eps-plain-blanco-mate-atrim/,static
CAS,120,14,h1,.monto,https://castienda.com.ar/producto/pastina-classic-x-2-kg-weber/,static
CAS,120,15,h1,.monto,https://castienda.com.ar/producto/pastina-prestige-x-2-kg-weber/,static
CAS,120,15,h1,.monto,https://castienda.com.ar/producto/pastina-performance-x-1-kg-klaukol/,static
CAS,121,16,h1,.monto,https://castienda.com.ar/producto/pastina-clasica-x-1-kg-klaukol/,static
CAS,121,16,h1,.monto,https://castienda.com.ar/producto/pegamento-impermeable-holcim-x-25-kg/,static
CAS,121,17,h1,.monto,https://castienda.com.ar/producto/pegamento-para-porcelanatos-holcim-x-25-kg/,static
CAS,121,17,h1,.monto,https://castienda.com.ar/producto/pegamento-flexible-holcim-x-25-kg/,static
CAS,103,18,h1,.monto,https://castienda.com.ar/producto/ceramico-glaciar-36-x-36-alberdi-2da/,static
CAS,103,18,h1,.monto,https://castienda.com.ar/producto/azulejo-ceramico-brick-biselado-blanco-bizantina/,static
CAS,104,19,h1,.monto,https://castienda.com.ar/producto/guardacanto-quadra-marfil-stone-10-mm-x-10-mm-x-25-m/,static
CAS,104,19,h1,.monto,https://castienda.com.ar/producto/adhesivo-rellenador-pro-fix-atrim/,static
CAS,109,20,h1,.monto,https://castienda.com.ar/producto/monocomando-mesada-arizona-fv/,static
EL LADRILLERO,0,20,#product-title,#product-price,https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0001.107,static
EL LADRILLERO,100,21,#product-title,#product-price,https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0001.405,static
EL LADRILLERO,100,21,#product-title,#product-price,http://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0002.204,static
EL LADRILLERO,105,22,#product-title,#product-price,https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0003.006,static
EL LADRILLERO,105,22,#product-title,#product-price,https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0003.007,static
EL LADRILLERO,113,23,#product-title,#product-price,https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0003.042,static
EL LADRILLERO,113,23,#product-title,#product-price,https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0003.107,static
EL LADRILLERO,110,24,#product-title,#product-price,https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0003.133,static
EL LADRILLERO,110,24,#product-title,#product-price,https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0003.090,static
EL LADRILLERO,117,25,#product-title,#product-price,https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0003.091,static
EL LADRILLERO,117,25,#product-title,#product-price,https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0004.002,static
EL LADRILLERO,115,26,#product-title,#product-price,https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0004.003,static
EL LADRILLERO,115,26,#product-title,#product-price,https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0004.004,static
EL LADRILLERO,117,27,#product-title,#product-price,https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0004.005,static
EL LADRILLERO,117,27,#product-title,#product-price,https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0004.007,static
EL LADRILLERO,116,28,#product-title,#product-price,http://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0004.008,static
EL LADRILLERO,116,28,#product-title,#product-price,https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0004.019,static
EL LADRILLERO,106,29,#product-title,#product-price,https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0007.693,static
EL LADRILLERO,106,29,#product-title,#product-price,https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0007.694,static
EL LADRILLERO,107,30,#product-title,#product-price,https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0007.695,static
EL LADRILLERO,107,30,#product-title,#product-price,https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0007.696,static
EL LADRILLERO,119,31,#product-title,#product-price,https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0007.697,static
EL LADRILLERO,119,31,#product-title,#product-price,https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0007.651,static
EL LADRILLERO,119,32,#product-title,#product-price,https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0007.652,static
EL LADRILLERO,119,32,#product-title,#product-price,https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0007.653,static
EL LADRILLERO,119,33,#product-title,#product-price,https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0007.661,static
EL LADRILLERO,119,33,#product-title,#product-price,https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0007.662,static
LA ECONOMICA,0,34,.product__name,.woocommerce-Price-amount,https://laeconomica.com.ar/tienda/materiales-de-construccion/cementos/copia-de-cemento-avellaneda-x-50-kg/,dynamic
LA ECONOMICA,0,34,.product__name,.woocommerce-Price-amount,https://laeconomica.com.ar/tienda/materiales-de-construccion/arenas/arena-comun-x-metro/,dynamic
LA ECONOMICA,0,35,.product__name,.woocommerce-Price-amount,https://laeconomica.com.ar/tienda/materiales-de-construccion/cales-molidas/cal-hidratada-extra-avellaneda-x-25-kg/,dynamic
LA ECONOMICA,0,35,.product__name,.woocommerce-Price-amount,https://laeconomica.com.ar/tienda/materiales-de-construccion/cales-molidas/cal-hidratada-santa-elena-x-20-kg/,dynamic
LA ECONOMICA,0,36,.product__name,.woocommerce-Price-amount,https://laeconomica.com.ar/tienda/materiales-de-construccion/arenas/bolson-de-arena-grande/,dynamic
LA ECONOMICA,0,36,.product__name,.woocommerce-Price-amount,https://laeconomica.com.ar/tienda/materiales-de-construccion/arenas/bolson-de-arena-chico/,dynamic
LA YESERA ROSARINA,122,37,h1.js-product-name,.js-price-display,https://tienda.layeserarosarina.com.ar/productos/placas-durlock-125mm-12x240-m/,static
DURLINE,122,38,h2,.precio,https://www.durline.com.ar/#!/producto/83/,dynamic
RODO MATERIALES,123,39,h3,h4,https://www.rodomateriales.com.ar/producto/cbwle/block-de-cemento-13x20x40,static
